,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,,,,,,,,,,,,
20,33.89,,28.48,35.04,,32.85,40.52,,,,,46.07,33.33,32.73,34.28,31.69,48.09,,37.04,36.34,45.09,,40.9,40.54,,32.46,,36.6,45.34,43.87,,33.6,33.6,37.13,,,,,,,,,,,,,,
40,29.29,,23.71,29.97,,28.38,36.06,,,,,40.75,28.33,26.63,28.34,26.74,40.62,,32.46,34.09,40.27,,34.39,38.95,,28.77,,32.72,39.61,38.91,,30.46,30.46,32.94,,,,,,,,,,,,,,
60,27.37,,21.83,28.15,,26.22,34.13,,,,,38.21,26.07,24.05,25.76,24.73,37.48,,30.59,30.24,38.03,,31.64,36.02,,27.06,,30.8,37.24,36.82,,28.87,28.87,31.04,,,,,,,,,,,,,,
80,26.43,,20.93,27.26,,25.1,32.88,,,,,36.66,24.84,22.54,24.38,23.71,35.71,,29.67,29.11,36.62,,30.04,34.26,,26.26,,29.63,35.99,35.61,,27.88,27.88,29.97,,,,,,,,,,,,,,
100,25.84,,20.47,26.67,,24.39,32.03,,,,,35.54,24.02,21.71,23.47,23.08,34.53,,29.07,28.4,35.65,,28.95,33.08,,25.66,,28.84,35.27,34.29,,27.24,27.24,29.18,,,,,,,,,,,,,,
200,24.05,,18.78,24.92,,27.42,29.82,,,,,32.48,21.87,19.31,21.33,21.35,31.63,,27.16,26.27,33.08,,26.18,30.28,,23.93,,26.62,32.86,32.42,,25.3,25.3,27.21,,,,,,,,,,,,,,
500,21.93,,16.95,22.64,,20.33,26.95,,,,,29.82,19.46,17.19,19.14,19.37,28.45,,24.92,23.82,29.72,,23.32,27.46,,21.92,,23.85,29.95,29.34,,22.87,22.87,24.55,,,,,,,,,,,,,,
1K,20.17,,15.58,20.57,,18.93,24.22,,,,,27.27,17.42,15.89,17.49,17.69,25.97,,22.97,21.99,26.81,,21.36,27.15,,20.28,,21.31,27.47,26.57,,20.8,20.8,22.02,,,,,,,,,,,,,,
5K,14.01,,11.52,13.79,,14.48,16.08,,,,,19.87,11.45,12.56,12.83,12.43,18.94,,16.61,16.86,18,,16.41,18.45,,15.46,,14.66,20.58,18.96,,14.92,14.92,14.71,,,,,,,,,,,,,,
10K,11.28,,9.88,10.92,,12.29,12.96,,,,,16.47,9.33,11.11,10.64,10.17,15.7,,13.7,14.63,14.29,,14.31,15.4,,13.39,,12.14,17.67,15.86,,12.54,12.54,11.84,,,,,,,,,,,,,,
20K,9.01,,8.37,8.59,,10.25,10.55,,,,,13.27,7.64,9.67,8.74,8.3,12.76,,11.19,12.54,11.29,,12.24,12.7,,16.48,,10.04,14.98,13.09,,10.48,10.48,9.55,,,,,,,,,,,,,,
50K,6.78,,6.68,6.35,,7.99,8.26,,,,,9.93,5.88,7.76,6.78,6.42,9.51,,8.62,10,8.42,,9.57,9.7,,9.18,,7.77,11.66,9.91,,8.19,8.19,7.36,,,,,,,,,,,,,,
100K,5.52,,5.56,5.1,,6.59,6.92,,,,,7.95,4.81,6.34,5.62,5.33,7.51,,7.1,8.19,6.83,,7.67,7.76,,7.6,,6.34,9.41,7.94,,6.77,6.77,6.1,,,,,,,,,,,,,,
500K,3.43,,3.39,3.13,,4.01,4.43,,,,,4.65,2.98,3.67,3.58,3.46,4.28,,4.53,4.73,4.2,,4.28,4.47,,4.64,,3.94,5.61,4.7,,4.32,4.32,3.99,,,,,,,,,,,,,,
1M,2.81,,2.69,2.56,,3.16,3.58,,,,,3.67,2.43,2.89,2.9,2.86,3.38,,3.68,3.63,3.4,,3.29,3.51,,3.67,,3.2,4.43,3.73,,3.55,3.55,3.31,,,,,,,,,,,,,,
