,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,,,,,,,,,,,,
20,-23.43,,-21.89,-23.07,,-25.31,-19.29,,,,,-22.12,-26.76,-28.1,-26.02,-23.31,-29.16,,-23.86,-22.54,-25.06,,-25.61,-28.62,,-17.68,,-19.21,-24.93,-21.54,,-18.52,-20.35,-18.87,,,,,,,,,,,,,,
40,-14.29,,-13.09,-13.34,,-16.17,-13.28,,,,,-16.18,-16.59,-18.41,-15.63,-13.96,-17.92,,-14.85,-15.47,-17.45,,-17.49,-19.42,,-11.93,,-13.89,-16.52,-13.96,,-13.84,-13.29,-12.45,,,,,,,,,,,,,,
60,-10.89,,-9.87,-10.2,,-12.38,-10.65,,,,,-13.01,-12.96,-14,-11.81,-10.47,-13.9,,-11.51,-12.37,-14.17,,-14.03,-17.19,,-9.33,,-11.15,-13.11,-11.07,,-11.33,-10.24,-9.75,,,,,,,,,,,,,,
80,-9.31,,-8.35,-8.78,,-10.44,-9.31,,,,,-11.17,-11.1,-11.76,-9.98,-8.89,-11.93,,-9.92,-10.67,-12.32,,-12.11,-12.88,,-8.09,,-9.67,-11.33,-9.74,,-9.78,-8.71,-8.48,,,,,,,,,,,,,,
100,-8.39,,-7.52,-7.97,,-9.69,-8.52,,,,,-10.24,-10,-10.35,-8.91,-7.89,-10.77,,-8.99,-9.67,-11.28,,-10.87,-11.41,,-7.33,,-8.72,-10.42,-8.98,,-8.84,-7.85,-7.77,,,,,,,,,,,,,,
200,-6.59,,-5.72,-6.5,,-6.84,-7.08,,,,,-7.97,-7.61,-7.18,-6.61,-6.51,-8.41,,-7.08,-7.41,-9.66,,-8.14,-8.46,,-5.77,,-6.92,-8.22,-7.51,,-6.91,-6.29,-6.47,,,,,,,,,,,,,,
500,-5.79,,-4.73,-6.03,,-5.39,-6.86,,,,,-6.96,-6.31,-5.17,-5.32,-5.3,-7.24,,-6.18,-6.11,-8.15,,-6.45,-6.99,,-5.05,,-6.39,-7.23,-7.11,,-6.04,-5.65,-6.29,,,,,,,,,,,,,,
1K,-5.97,,-4.54,-6.37,,-5.12,-7.32,,,,,-7.03,-6.07,-4.52,-5.03,-5.3,-7.13,,-6.26,-5.82,-8.35,,-5.92,-6.84,,-5.01,,-6.5,-7.2,-7.35,,-6.03,-5.64,-6.65,,,,,,,,,,,,,,
5K,-6.18,,-4.18,-6.47,,-5.08,-7.19,,,,,-7.42,-5.18,-3.88,-4.92,-5.23,-7.28,,-6.47,-5.5,-8.33,,-5.84,-7.5,,-5,,-5.99,-7.1,-7.23,,-5.7,-5.18,-6.54,,,,,,,,,,,,,,
10K,-5.56,,-3.86,-5.74,,-4.86,-6.18,,,,,-7.04,-4.44,-3.69,-4.53,-4.65,-6.84,,-5.94,-5.13,-7.35,,-5.09,-6.5,,-4.7,,-5.3,-6.7,-6.65,,-5.14,-4.6,-5.69,,,,,,,,,,,,,,
20K,-4.67,,-3.4,-4.74,,-4.39,-4.39,,,,,-6.28,-3.69,-3.51,-3.91,-3.9,-6.1,,-5.1,-4.72,-6.05,,-4.8,-5.76,,-4.32,,-4.54,-6.17,-5.95,,-4.49,-4.01,-4.67,,,,,,,,,,,,,,
50K,-3.51,,-2.84,-3.5,,-3.58,-3.74,,,,,-5.06,-2.87,-3.26,-3.07,-2.97,-4.76,,-3.98,-4.24,-4.47,,-4.37,-4.74,,-3.79,,-3.65,-5.39,-4.94,,-3.64,-3.37,-3.48,,,,,,,,,,,,,,
100K,-2.83,,-2.51,-2.77,,-3.08,-3.09,,,,,-4.21,-2.39,-3.02,-2.55,-2.43,-4.14,,-3.29,-3.87,-3.57,,-3.92,-4.03,,-3.4,,-3.06,-4.68,-4.15,,-3.07,-2.93,-2.8,,,,,,,,,,,,,,
500K,-1.74,,-1.81,-1.63,,-2.19,-2.18,,,,,-2.69,-1.51,-2.09,-1.75,-1.61,-2.49,,-2.19,-2.8,-2.22,,-2.65,-2.54,,-2.46,,-1.99,-3.11,-2.63,,-2.04,-2.13,-1.81,,,,,,,,,,,,,,
1M,-1.43,,-1.54,-1.3,,-1.87,-1.88,,,,,-2.23,-1.24,-1.71,-1.51,-1.37,-2,,-1.89,-2.37,-1.87,,-2.19,-2.04,,-2.12,,-1.68,-2.65,-2.17,,-1.72,-1.92,-1.53,,,,,,,,,,,,,,
