,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,2月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,9月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,18月龄雌,,,,,,,,,,,,
20,44.4,,39.21,43.86,,46.17,42.58,,,,,46.99,45.57,47.09,42.66,41.15,51.7,,46.22,45.38,51.11,,46.68,50.17,,37.77,,39.75,53.75,48.16,,39.57,37.2,38.91,,,,,,,,,,,,,,
40,35.02,,29.86,34.45,,31.8,37.12,,,,,41,34.24,35.25,31.85,31.6,41.72,,32.54,32.75,43.77,,38.27,40.94,,31.8,,34.25,44.93,41.2,,34.39,31.1,32.98,,,,,,,,,,,,,,
60,31.76,,26.8,31.61,,31.97,34.77,,,,,38.19,30.19,30.55,28.07,28.48,38.22,,34.45,34.51,40.6,,34.82,37.45,,29.5,,31.99,41.48,38.47,,31.89,28.5,30.75,,,,,,,,,,,,,,
80,30.18,,25.34,30.23,,30.1,33.52,,,,,36.56,28.21,28.2,26.23,27.02,36.44,,32.91,32.79,38.82,,32.85,35.57,,28.35,,30.47,39.71,37.11,,30.45,27.2,29.55,,,,,,,,,,,,,,
100,29.18,,24.51,29.38,,28.93,32.75,,,,,33.59,26.92,26.8,25.07,26.11,35.22,,31.96,31.68,37.66,,31.14,34.32,,27.66,,29.6,38.63,36.21,,29.52,26.3,28.79,,,,,,,,,,,,,,
200,26.86,,22.2,27.19,,26.17,30.56,,,,,32.91,23.9,23.38,22.41,23.9,32.32,,29.49,28.84,34.62,,28.38,31.66,,25.71,,27.27,35.89,33.77,,27.14,24.4,26.88,,,,,,,,,,,,,,
500,24.37,,19.86,24.74,,23.51,27.92,,,,,30.1,21.12,20.62,19.99,21.62,29.33,,26.88,25.98,31.28,,25.26,28.91,,23.57,,24.7,32.76,30.83,,24.57,22.17,24.62,,,,,,,,,,,,,,
1K,22.47,,18.16,22.64,,21.67,25.53,,,,,27.91,19,18.99,18.38,19.8,27.05,,24.76,23.95,28.54,,23.21,26.77,,21.74,,22.45,30.24,28.36,,22.49,20.35,22.52,,,,,,,,,,,,,,
5K,16.17,,13.28,15.81,,16.47,17.77,,,,,21.19,13.07,14.88,13.84,14.07,20.24,,17.97,18.48,20.06,,18.02,20.1,,17.09,,16.09,22.98,20.99,,16.55,15.29,15.93,,,,,,,,,,,,,,
10K,13.12,,11.22,12.65,,13.89,14.43,,,,,17.85,10.67,12.98,11.6,11.49,16.9,,14.8,16.04,16.17,,15.67,16.91,,14.84,,13.45,19.79,17.76,,13.99,13.15,13.01,,,,,,,,,,,,,,
20K,10.47,,9.42,9.95,,11.47,11.68,,,,,14.63,8.69,11.09,9.54,9.29,13.78,,12.04,13.78,12.84,,13.37,13.87,,12.71,,11.13,16.81,14.73,,11.67,11.26,10.52,,,,,,,,,,,,,,
50K,7.81,,7.48,7.29,,8.45,9.02,,,,,11.05,6.66,8.77,7.38,7.1,10.33,,9.22,11.07,9.55,,10.51,10.52,,10.16,,8.6,13.17,11.2,,9.09,9.08,8.02,,,,,,,,,,,,,,
100K,6.31,,6.25,5.82,,7.35,7.53,,,,,8.9,5.43,7.19,6.11,5.86,8.23,,7.58,9.17,7.73,,8.54,8.47,,8.45,,7.03,10.69,8.97,,7.5,7.16,6.62,,,,,,,,,,,,,,
500K,3.89,,3.9,3.54,,4.6,4.9,,,,,5.3,3.36,4.25,3.94,3.81,4.81,,4.87,5.53,4.82,,4.96,5.03,,5.29,,4.39,6.48,5.37,,4.8,5.16,4.31,,,,,,,,,,,,,,
1M,3.19,,3.12,2.9,,3.69,4.01,,,,,4.24,2.76,3.37,3.23,3.16,3.84,,4.02,4.34,3.97,,3.89,4.04,,4.26,,3.59,5.2,4.3,,3.95,4.34,3.59,,,,,,,,,,,,,,
