,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,,,,,,,,,,,,,
20,,29.23,25.18,32.2,,,,34.54,,33.54,44.28,,38.79,32.17,,34.41,,29.66,31.03,32.6,34.48,,37.75,31,30.5,,36.53,,,,35.97,33.57,32.31,,45.9,30.4,32.25,,,,,,,,,,,,,,,
40,,24.67,21.76,28.43,,,,29.61,,29.91,40.07,,34.51,27.52,,30.38,,25.99,27.35,29.01,30.54,,32.21,27.78,27.26,,32.61,,,,31.77,29.13,27.84,,40.19,26.33,28.36,,,,,,,,,,,,,,,
60,,22.71,20.19,26.8,,,,27.29,,28.2,38.45,,32.88,25.52,,28.43,,24.28,25.69,27.43,28.73,,29.59,26.11,25.6,,30.99,,,,29.96,27.09,25.84,,37.87,24.55,26.35,,,,,,,,,,,,,,,
80,,21.74,19.5,25.97,,,,26.2,,27.24,37.46,,31.85,24.36,,27.29,,23.33,24.69,26.56,27.65,,21.97,24.99,24.45,,30.11,,,,29,25.87,24.68,,36.62,23.57,25.17,,,,,,,,,,,,,,,
100,,21.14,19.23,25.56,,,,25.33,,26.62,36.86,,31.23,23.62,,26.47,,22.66,24.05,26.23,26.91,,26.76,24.26,23.95,,29.51,,,,28.34,25.02,23.93,,35.72,22.96,24.4,,,,,,,,,,,,,,,
200,,19.37,17.83,23.99,,,,23.35,,24.91,34.73,,29.22,21.68,,24.43,,20.95,22.2,24.46,24.95,,24.07,22.26,22.14,,27.57,,,,26.44,22.99,21.98,,33.19,21.17,22.4,,,,,,,,,,,,,,,
500,,17.52,16.32,21.93,,,,21.44,,22.76,31.83,,26.64,19.24,,21.89,,18.84,20.06,22.31,22.51,,21.18,19.76,20.11,,24.61,,,,23.88,20.64,19.74,,29.82,19.15,20.2,,,,,,,,,,,,,,,
1K,,16.21,15.12,20.14,,,,20.42,,20.88,28.9,,24.25,17.06,,19.62,,16.99,18.23,20.32,20.38,,19.06,17.56,18.45,,21.77,,,,21.4,18.69,17.89,,26.78,17.76,18.48,,,,,,,,,,,,,,,
5K,,12.1,11.25,13.97,,,,15.5,,14.72,18.68,,16.71,10.86,,13.15,,11.76,13.01,14.07,14.01,,13.98,11.63,13.8,,13.41,,,,13.87,13.56,12.9,,17.63,13.01,13.37,,,,,,,,,,,,,,,
10K,,10.25,9.57,11.25,,,,13.76,,11.97,14.51,,13.75,8.54,,10.53,,9.65,10.75,11.38,11.26,,11.97,9.44,11.7,,10.43,,,,10.89,11.47,11.05,,13.92,10.88,11.06,,,,,,,,,,,,,,,
20K,,8.61,8.04,8.93,,,,11.99,,9.62,11.34,,11.24,6.8,,8.38,,7.88,8.78,9.1,8.94,,10.25,7.7,9.72,,8.18,,,,8.56,9.65,9.58,,10.89,8.94,9.06,,,,,,,,,,,,,,,
50K,,8.83,6.29,6.64,,,,9.78,,7.26,8.46,,8.73,5.19,,6.24,,6.03,6.7,6.77,6.61,,8.24,5.97,7.46,,6.09,,,,6.35,7.63,8.02,,7.92,6.82,7,,,,,,,,,,,,,,,
100K,,5.67,5.13,5.37,,,,8.14,,5.92,6.92,,7.18,4.28,,5.01,,4.9,5.46,5.41,5.3,,6.79,4.96,6.06,,4.97,,,,5.12,6.31,6.88,,6.25,5.53,5.78,,,,,,,,,,,,,,,
500K,,3.54,3.12,3.3,,,,4.68,,3.67,4.48,,4.78,2.77,,3.02,,3,3.4,3.77,3.3,,4.16,3.27,3.64,,3.21,,,,3.14,3.61,3.9,,3.62,3.42,3.6,,,,,,,,,,,,,,,
1M,,2.89,2.56,2.71,,,,3.57,,2.98,3.76,,3.48,2.31,,2.47,,2.43,2.77,2.67,2.73,,3.34,2.73,2.91,,2.67,,,,2.34,2.77,2.88,,2.89,2.84,2.89,,,,,,,,,,,,,,,
