,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,,,,,,,,,,,,,
20,,-22.68,25.18,-20.37,,,,-28.96,,-17.89,-21.88,,-21.93,-20.76,,-19.84,,-17.64,-18.12,-19.18,-18.72,,-23.86,-17.46,-17.2,,-19.65,,,,-21.23,-21,-21.53,,-24.77,-20.68,-20.5,,,,,,,,,,,,,,,
40,,-13.95,21.76,-13.21,,,,-17.66,,-12.02,-14.46,,-15.13,-12.81,,-13.04,,-11.39,-12.14,-12.9,-12.73,,-16.74,-12.7,-12.6,,-12.56,,,,-13.06,-13.57,-13.93,,-15.71,-13.32,-13.68,,,,,,,,,,,,,,,
60,,-10.67,20.19,-10.42,,,,-13.51,,-9.42,-11.53,,-12.15,-9.93,,-10.24,,-8.83,-9.64,-10.31,-10.12,,-13.48,-10.38,-10.24,,-10.14,,,,-10.13,-10.61,-10.83,,-12.47,-10.27,-10.82,,,,,,,,,,,,,,,
80,,-8.98,19.5,-8.93,,,,-11.45,,-8.14,-10.08,,-10.56,-8.53,,-8.85,,-7.57,-8.32,-9.04,-8.75,,-11.62,-9.04,-8.85,,-8.99,,,,-8.78,-9.09,-9.18,,-11.04,-8.74,-9.14,,,,,,,,,,,,,,,
100,,-8.04,19.23,-8.26,,,,-10.16,,-7.41,-9.25,,-9.6,-7.72,,-8.08,,-6.88,-7.54,-8.12,-7.93,,-10.43,-8.19,-7.94,,-8.59,,,,-8.05,-8.17,-8.21,,-10.11,-7.85,-8.18,,,,,,,,,,,,,,,
200,,-6.02,17.83,-6.59,,,,-7.2,,-5.96,-7.75,,-7.58,-6.28,,-6.53,,-5.5,-7.96,-6.46,-6.36,,-7.74,-6.46,-6,,-7.36,,,,-6.7,-6.41,-6.31,,-8.5,-6.03,-6.22,,,,,,,,,,,,,,,
500,,-4.8,16.32,-5.89,,,,-5.31,,-5.48,-7.8,,-6.9,-5.81,,-6.02,,-5.01,-5.27,-5.85,-5.81,,-6.22,-5.81,-5.05,,-7.3,,,,-6.45,-5.56,-5.38,,-8.16,-5.13,-5.29,,,,,,,,,,,,,,,
1K,,-4.55,15.12,-6.06,,,,-4.76,,-5.75,-8.7,,-7.18,-5.98,,-6.21,,-5.13,-5.31,-6.06,-6.02,,-5.82,-5.86,-4.94,,-7.77,,,,-6.88,-5.46,-5.25,,-8.61,-5.11,-5.22,,,,,,,,,,,,,,,
5K,,-4.39,11.25,-6.23,,,,-4.35,,-6.15,-9.31,,-7.19,-5.53,,-6,,-4.92,-5.26,-6.18,-6.19,,-5.06,-5.27,-4.95,,-7.22,,,,-6.83,-5.06,-4.64,,-8.46,-5.05,-5.25,,,,,,,,,,,,,,,
10K,,-4.05,9.57,-5.65,,,,-4.26,,-5.63,-8.03,,-6.49,-4.64,,-5.3,,-4.38,-4.78,-5.57,-5.58,,-4.51,-4.5,-4.7,,-6.05,,,,-5.89,-4.57,-3.97,,-7.46,-4.71,-4.81,,,,,,,,,,,,,,,
20K,,-3.58,8.04,-4.76,,,,-4.07,,-4.79,-6.41,,-5.39,-3.67,,-4.41,,-3.72,-4.12,-4.72,-4.71,,-3.96,-3.68,-4.25,,-4.75,,,,-4.77,-3.99,-3.35,,-6.18,-4.14,-4.14,,,,,,,,,,,,,,,
50K,,-2.64,6.29,-3.58,,,,-3.19,,-3.66,-4.55,,-4.19,-2.63,,-3.34,,-2.94,-3.25,-2.63,-3.56,,-3.41,-2.77,-3.52,,-3.35,,,,-3.49,-3.32,-2.87,,-4.61,-3.32,-3.25,,,,,,,,,,,,,,,
100K,,-2.55,5.13,-2.85,,,,-3.6,,-2.98,-3.54,,-3.51,-2.08,,-2.69,,-2.44,-2.86,-2.93,-2.82,,-3.03,-2.25,-3,,-2.59,,,,-2.76,-2.94,-2.77,,-3.65,-2.75,-2.71,,,,,,,,,,,,,,,
500K,,-1.74,3.12,-1.7,,,,-2.81,,-1.89,-2.07,,-2.38,-1.28,,-1.6,,-1.56,-1.7,-1.76,-1.64,,-2.13,-1.47,-1.97,,-1.53,,,,-1.67,-2.2,-2.44,,-2.12,-1.65,-1.84,,,,,,,,,,,,,,,
1M,,-1.46,2.56,-1.38,,,,-2.34,,-1.6,-1.69,,-2.02,-1.08,,-1.29,,-1.31,-1.4,-1.45,-1.35,,-1.84,-1.28,-1.63,,-1.29,,,,-1.37,-1.84,-1.98,,-1.7,-1.3,-1.55,,,,,,,,,,,,,,,
