,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,2月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,9月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄,18月龄雄
20,,41.18,38.6,42.14,,,,49.44,,38.3,51.73,,47.59,37.65,,37.81,,33.51,33.89,39.54,37.59,,39.72,34.05,35.19,,42.9,,,,42.34,38.56,37.59,,52.47,40.02,38.18,,
40,,31.42,30.52,34.81,,,,36.91,,32.86,44.41,,40.54,29.89,,31.54,,27.55,30.1,33.3,32.18,,32.47,29.23,30.41,,36.3,,,,34.78,31.36,30.02,,43.87,32.5,31.09,,
60,,28.06,27.86,31.98,,,,32.61,,30.61,41.78,,37.71,27.06,,29.04,,25.2,27.63,30.93,29.89,,29.35,26.93,28.32,,33.76,,,,32.23,28.58,27,,40.97,29.67,28.17,,
80,,26.53,26.64,30.59,,,,30.57,,29.55,40.49,,36.28,25.72,,27.74,,24.8,26.43,29.72,28.81,,26.87,25.62,27.02,,32.43,,,,31,27.21,25.44,,39.5,28.24,26.64,,
100,,25.5,25.89,29.78,,,,29.36,,28.84,39.63,,35.32,24.93,,26.9,,23.32,25.54,28.97,28.07,,24.68,24.73,26.37,,31.43,,,,30.18,26.38,24.49,,38.56,27.36,25.69,,
200,,22.99,23.81,27.49,,,,26.36,,26.97,37.19,,32.72,22.82,,24.83,,21.48,23.38,26.91,26.15,,22.22,22.47,24.31,,29.19,,,,28.26,24.33,22.33,,35.96,25.15,23.36,,
500,,20.66,21.54,25.5,,,,23.89,,24.83,34.27,,29.77,20.44,,22.54,,19.5,21.13,24.62,23.99,,19.7,20.1,22.3,,26.28,,,,25.69,22.07,20.06,,32.7,22.78,21.09,,
1K,,19.02,19.69,22.98,,,,22.44,,23.03,31.49,,27.33,18.46,,20.39,,17.83,19.38,22.65,22.22,,18.08,18.16,20.77,,23.63,,,,23.39,20.29,18.41,,29.78,20.89,19.43,,
5K,,13.98,14,16.25,,,,18.02,,16.68,21.63,,19.45,12.39,,14.51,,12.84,14.26,16.14,16.08,,13.92,12.62,15.89,,15.49,,,,15.87,14.91,13.67,,20.19,15.02,14.46,,
10K,,11.69,11.55,13.12,,,,15.73,,13.59,17.06,,15.92,9.84,,11.79,,10.62,11.89,13.13,13.11,,12.13,10.35,13.43,,12.19,,,,12.57,12.55,11.75,,16.03,12.37,12.09,,
20K,,9.68,9.43,10.4,,,,13.46,,10.87,13.29,,12.94,7.79,,9.42,,8.69,9.13,10.49,10.43,,10.5,8.44,11.05,,9.55,,,,9.84,10.49,10.2,,12.52,10.04,9.93,,
50K,,7.58,7.18,7.66,,,,10.89,,8.14,9.74,,9.93,5.85,,7.01,,6.64,7.44,7.75,7.64,,8.51,6.5,8.78,,7.82,,,,7.21,8.29,8.6,,9.03,7.6,7.66,,
100K,,6.3,5.82,6.15,,,,9.09,,6.61,7.86,,8.15,4.79,,5.62,,5.41,6.07,6.18,6.08,,7.08,5.28,6.79,,5.65,,,,5.79,6.93,7.51,,7.1,6.15,6.32,,
500K,,3.98,3.51,3.75,,,,5.55,,4.12,4.97,,5.03,3.07,,3.37,,3.34,3.78,3.7,3.7,,4.43,3.54,4.13,,3.58,,,,3.54,4.27,4.61,,4.12,3.78,4.01,,
1M,,3.26,2.86,3.07,,,,4.51,,3.37,4.15,,4.04,2.56,,2.75,,2.73,3.09,3,3.06,,3.61,2.98,3.32,,2.98,,,,2.87,3.31,3.48,,3.29,3.11,3.24,,
